Executive Committee,45,FALSE,---
A-7,38,FALSE,---
Abington,45,FALSE,---
Accounting Society,17,FALSE,---
Administrative Assistant,34,FALSE,---
Alliance Christian Fellowship,11,FALSE,---
Alpha Epsilon Delta,34,FALSE,---
Alpha Kappa Psi,45,FALSE,---
Alpha Phi Omega,51,FALSE,---
Altoona,41,FALSE,---
Alumni Outreach 1,20,FALSE,---
Alumni Outreach 2,22,FALSE,---
AMERICAN HELICOPTER SOCIETY,51,FALSE,---
American Institute of Architecture Students,31,FALSE,---
American Institute of Chemical Engineers,34,FALSE,---
American Nuclear Society,14,FALSE,---
Anchored,52,FALSE,---
APICS The Association for Operations Management Penn State Student Affiliate Chapter,45,FALSE,---
Apollo,23,FALSE,---
Arnold Air Society,40,FALSE,---
ASCEND,45,FALSE,---
Association of Residence Hall Students (ARHS),18,FALSE,---
Atlas,25,FALSE,---
Axis,60,FALSE,---
Ayuda,22,FALSE,---
Beaver,22,FALSE,---
Bee House,10,FALSE,---
Behrend,39,FALSE,---
Berks,50,FALSE,---
Best Buddies,41,FALSE,---
Beta Alpha Psi,51,FALSE,---
Biobehavioral Health Society,58,FALSE,---
Biological Honor Society,10,FALSE,---
Biomedical Engineering Society,24,FALSE,---
Blue & White Society,31,FALSE,---
Blue Band,56,FALSE,---
Boulevard,52,FALSE,---
Bounce Dance Organization,57,FALSE,---
BOXING,49,FALSE,---
Brandywine,55,FALSE,---
Bridges to Prosperity,45,FALSE,---
Business and Society House,12,FALSE,---
Chinese Students and Scholars Association,35,FALSE,---
CHINESE UNDERGRADUATE STUDENT ASSOCIATION,59,FALSE,---
Circle K,49,FALSE,---
Clown Nose Club,27,FALSE,---
Club Archery,22,FALSE,---
Club Baseball,28,FALSE,---
Club Cheerleading,37,FALSE,---
Club Crew,45,FALSE,---
Club Croquet,60,FALSE,---
Club Cross Country,25,FALSE,---
Club Dodgeball,53,FALSE,---
Club Equestrian,48,FALSE,---
Club Field Hockey,42,FALSE,---
Club Figure Skating,55,FALSE,---
Club Gymnastics,18,FALSE,---
Club Powerlifting,48,FALSE,---
Club Quidditch,18,FALSE,---
Club Sailing,33,FALSE,---
Club Ski,58,FALSE,---
Club Snowboard,49,FALSE,---
Club Softball,42,FALSE,---
Club Swimming,17,FALSE,---
Club Taekwondo,14,FALSE,---
Club Tennis,60,FALSE,---
Club Track and Field,45,FALSE,---
Club Trap & Skeet Club,40,FALSE,---
Club Western Equestrian,15,FALSE,---
Club Wiffleball,19,FALSE,---
Club Wrestling,43,FALSE,---
College Democrats,19,FALSE,---
College of Earth and Mineral Science Student Council,22,FALSE,---
